,time,open,high,low,close,volume
39,2024-03-04,52.59,53.35,52.17,52.51,1404079
40,2024-03-05,52.59,53.52,52.25,53.43,1129980
41,2024-03-06,53.26,53.35,52.51,52.67,757384
42,2024-03-07,52.59,53.26,52.51,53.18,1108310
43,2024-03-08,53.18,54.53,53.01,53.26,1690974
44,2024-03-11,53.18,53.18,51.83,52.34,1057379
45,2024-03-12,52.34,53.1,52.0,52.34,1020734
46,2024-03-13,52.84,54.19,52.59,53.69,1471115
47,2024-03-14,54.19,54.7,53.77,54.28,1257473
48,2024-03-15,54.45,54.45,53.18,54.02,809650
49,2024-03-18,54.02,54.02,51.15,52.08,1555213
50,2024-03-19,52.67,52.67,51.66,52.17,905943
51,2024-03-20,52.25,52.59,51.58,52.42,823360
52,2024-03-21,53.1,53.26,52.42,53.1,968157
53,2024-03-22,53.94,54.78,53.35,54.11,1680649
54,2024-03-25,54.11,55.04,53.35,53.6,1017832
55,2024-03-26,53.6,54.45,53.43,54.11,705759
56,2024-03-27,54.45,54.45,53.77,53.94,640155
57,2024-03-28,54.19,54.28,53.77,53.94,516396
58,2024-03-29,53.94,54.53,53.69,53.86,884521
59,2024-04-01,53.86,54.19,52.84,53.43,1105427
60,2024-04-02,53.6,54.11,53.18,54.11,987871
61,2024-04-03,54.19,54.95,53.6,53.77,1182227
62,2024-04-04,53.6,53.77,53.01,53.1,943695
63,2024-04-05,53.01,53.43,52.84,52.84,620751
64,2024-04-08,52.67,52.93,52.17,52.76,760638
65,2024-04-09,52.93,53.18,52.76,53.01,486954
66,2024-04-10,53.18,53.35,52.84,52.84,560158
67,2024-04-11,52.34,53.1,52.34,53.1,849092
68,2024-04-12,53.61,53.95,53.18,53.87,641959
69,2024-04-15,53.35,53.87,52.15,52.24,1364392
70,2024-04-16,52.41,52.58,51.21,51.81,1127709
71,2024-04-17,52.15,52.5,51.47,51.47,676496
72,2024-04-19,50.69,51.47,49.49,49.75,1577895
73,2024-04-22,50.01,51.12,49.92,50.52,880026
74,2024-04-23,50.27,50.69,49.92,50.09,816436
75,2024-04-24,50.52,52.07,50.35,51.72,1084738
76,2024-04-25,51.64,51.64,50.87,51.47,615280
77,2024-04-26,51.29,53.01,50.87,52.84,1228590
78,2024-05-02,52.5,55.07,52.32,55.07,2466357
79,2024-05-03,55.07,56.53,55.07,56.53,3665401
80,2024-05-06,56.87,56.87,55.84,56.01,1613605
81,2024-05-07,56.53,56.53,55.58,55.76,1419900
82,2024-05-08,56.27,57.13,55.5,56.96,3578672
83,2024-05-09,57.73,57.9,56.44,56.61,1332458
84,2024-05-10,56.87,57.04,55.76,56.61,1203649
85,2024-05-13,57.13,58.33,56.53,57.47,1528399
86,2024-05-14,58.07,58.07,56.96,57.13,592918
87,2024-05-15,57.13,57.64,56.96,57.13,1107509
88,2024-05-16,57.81,59.19,57.21,58.84,1738682
89,2024-05-17,59.1,59.19,58.33,58.33,1483345
90,2024-05-20,58.67,58.84,57.56,57.9,1281576
91,2024-05-21,58.99,59.09,57.9,58.39,1070162
92,2024-05-22,58.3,58.99,58.1,58.39,668317
93,2024-05-23,58.3,60.86,57.8,60.66,2223278
94,2024-05-24,60.76,60.76,58.79,59.97,1416788
95,2024-05-27,60.17,61.35,59.68,61.35,1002470
96,2024-05-28,61.65,62.64,61.16,62.44,1048638
97,2024-05-29,62.64,62.64,60.96,61.16,754618
98,2024-05-30,60.66,61.16,60.27,61.16,1136145
99,2024-05-31,61.55,61.95,60.66,61.45,732168
100,2024-06-03,61.65,62.34,61.55,62.14,760418
101,2024-06-04,62.14,62.24,61.45,61.65,463189
102,2024-06-05,61.45,62.04,61.45,61.75,681853
103,2024-06-06,61.75,62.34,61.16,61.16,565629
104,2024-06-07,61.26,61.75,60.66,61.16,460634
105,2024-06-10,61.26,62.44,61.16,61.35,644881
106,2024-06-11,61.85,62.44,61.16,61.16,611624
107,2024-06-12,61.45,62.64,61.16,62.64,1322762
108,2024-06-13,64.02,64.02,62.83,63.13,898465
109,2024-06-14,63.23,63.33,60.66,60.66,1217305
110,2024-06-17,60.66,61.65,60.56,60.76,819150
111,2024-06-18,60.86,62.93,60.76,62.64,900479
112,2024-06-19,62.54,62.83,61.85,62.83,672971
113,2024-06-20,62.64,65.69,62.64,64.81,1600113
114,2024-06-21,65.99,65.99,63.62,63.62,938085
115,2024-06-24,63.72,64.31,61.16,62.74,1144846
116,2024-06-25,62.74,64.61,62.74,63.23,766216
117,2024-06-26,63.92,63.92,62.04,63.13,973589
118,2024-06-27,63.13,64.02,62.34,63.13,806900
119,2024-06-28,62.64,62.74,61.75,61.75,1165698
120,2024-07-01,61.75,62.74,60.96,62.64,1044666
121,2024-07-02,62.93,62.93,62.14,62.34,905177
122,2024-07-03,62.54,63.13,62.14,63.13,1012861
123,2024-07-04,63.13,64.61,62.83,64.41,1481030
124,2024-07-05,64.91,64.91,63.13,64.31,838116
125,2024-07-08,65.1,65.89,64.71,65.6,1684807
126,2024-07-09,66.09,69.05,64.91,68.55,2165255
127,2024-07-10,69.44,71.32,68.16,70.23,2412860
128,2024-07-11,70.33,72.3,70.03,70.53,1711493
